user_pair_id,days_since_last_snap,streak_length,avg_response_time_hrs,pct_snaps_opened,shared_stories_viewed,snap_map_checks,friend_suggestion_rank,days_since_friend_added,notification_received_7d,treatment,time_to_cold,went_cold,reactivated
bdd640fb,1,16,8.39,0.634,7,4,129,84,4,0,7,1,0
23b8c1e9,0,12,53.32,0.358,3,1,22,541,1,0,21,0,0
bd9c66b3,6,2,2.97,0.795,3,5,100,237,3,0,21,0,0
972a8469,1,15,0.3,0.659,3,1,124,164,1,0,21,0,0
17fc695a,5,3,15.92,0.297,6,3,108,30,8,0,21,0,0
9a1de644,0,5,0.87,0.88,7,3,106,30,3,0,21,0,0
b74d0fb1,3,0,5.51,0.508,3,3,112,10,2,0,21,0,0
6b65a6a4,1,15,6.0,0.713,1,3,51,362,4,0,21,0,0
47378190,3,5,3.81,0.805,7,5,121,165,4,0,21,0,0
c241330b,4,5,0.32,0.782,3,1,182,221,1,0,21,0,0
6c307511,21,9,2.23,0.891,7,0,146,3,1,0,21,0,0
371ecd7b,2,11,0.59,0.73,3,4,111,630,1,0,21,0,0
1a2a73ed,0,17,5.47,0.706,2,1,136,321,4,0,21,0,0
5be6128e,3,6,1.25,0.795,2,1,59,42,4,0,21,0,0
43b7a3a6,2,0,0.32,0.824,5,1,134,36,2,0,21,0,0
759cde66,2,8,7.26,0.738,3,4,22,36,3,0,21,0,0
ec1b8ca1,1,3,0.82,0.242,3,2,29,65,6,0,15,1,1
4b0dbb41,2,17,3.85,0.809,4,3,73,133,3,0,21,0,0
e2acf72f,0,8,1.48,0.323,3,1,69,101,3,0,21,0,0
3139d32c,4,2,8.63,0.889,9,1,6,61,2,0,21,0,0
a9488d99,9,5,8.24,0.648,2,7,193,170,2,0,21,0,0
fc377a4c,2,7,4.31,0.375,1,4,39,27,3,0,21,0,0
ddd1dfb2,2,6,2.95,0.57,4,3,84,62,3,0,21,0,0
7412b293,4,9,2.04,0.601,2,2,198,82,4,0,21,0,0
29a3b2e9,2,1,0.88,0.691,4,2,96,109,5,0,21,0,0
ab9099a4,1,22,1.74,0.575,5,3,38,276,3,0,21,0,0
aefcfad8,5,2,5.62,0.883,4,0,197,40,3,0,21,0,0
a28defe3,2,10,28.5,0.654,1,3,10,129,3,0,21,0,0
3eabedcb,0,1,6.22,0.809,5,0,170,161,5,0,21,0,0
451b4cf3,6,1,7.29,0.769,6,2,151,8,6,0,1,1,0
b02b61c4,6,12,2.95,0.808,2,3,183,168,2,0,5,1,1
5304317f,0,1,5.92,0.545,3,1,153,33,2,0,21,0,0
0e51f30d,0,8,0.31,0.58,3,4,44,12,4,0,21,0,0
